temperature,vibration,current,pressure,runtime_hours,health_status,rul
84.98,8.6247,27.0699,132.57,6925,2,25
82.31,4.0851,17.5579,99.29,2728,1,42
88.96,9.0164,20.7476,116.82,6567,2,18
54.12,4.8599,10.7303,108.47,406,0,101
76.84,6.2556,16.1175,120.05,3360,1,57
81.36,6.4687,18.0008,96.1,4055,1,33
58.31,2.733,8.4197,92.84,895,0,121
50.83,3.6145,11.9125,94.95,499,0,79
59.44,3.6716,13.6828,89.13,29,0,119
73.42,5.4954,15.559,110.88,4532,1,62
45.67,2.3378,8.4459,116.89,386,0,111
50.3,3.2819,11.1932,116.13,0,0,122
78.6,7.3511,18.6425,107.69,4565,1,46
84.22,5.3079,21.1914,106.05,5824,2,23
56.22,2.9459,12.3186,107.52,789,0,125
60.95,1.4424,11.4123,91.38,918,0,89
66.4,6.6185,17.5569,121.17,4993,1,65
59.19,2.196,12.093,109.09,1513,0,98
62.6,2.4089,9.3234,99.44,1118,0,97
78.37,6.3023,19.8326,85.98,4934,1,65
99.72,6.5011,21.5678,140.09,6798,2,1
61.04,1.848,15.5695,119.06,811,0,77
71.14,5.3481,19.6369,125.55,4986,1,49
58.71,2.0889,12.6523,102.94,346,0,143
57.71,0.8681,13.5976,116.31,1722,0,92
53.87,3.2498,11.6657,114.34,259,0,148
45.1,2.4554,12.9975,106.46,516,0,128
52.51,1.8008,8.2278,108.1,731,0,136
41.39,1.7575,13.7421,87.06,1792,0,108
52.33,2.0771,13.0199,91.31,956,0,115
67.84,5.3382,14.6832,79.52,2895,1,75
76.38,4.4332,16.8512,102.36,2619,1,49
55.19,1.1105,13.3645,92.83,1142,0,89
42.45,2.2464,11.3453,116.87,1717,0,144
60.22,2.1278,12.2036,89.45,225,0,81
55.6,2.1945,9.791,102.55,696,0,148
57.12,2.4579,12.5271,98.66,730,0,151
48.19,2.7759,11.4658,81.24,1344,0,104
51.44,2.1929,13.6271,92.97,52,0,95
60.83,2.7475,11.9208,100.61,1931,0,98
56.21,2.429,11.8954,93.23,207,0,139
77.57,10.0503,22.006,148.71,8031,2,12
60.04,3.6715,11.3208,111.43,1589,0,136
54.88,2.9806,12.8132,125.47,1503,0,125
100.61,8.8924,25.5139,111.4,5832,2,6
84.63,8.8537,21.9375,110.42,9959,2,2
63.57,6.4987,18.0924,92.13,3073,1,47
52.51,3.1894,13.2149,113.12,1640,0,83
63.75,2.0611,13.9494,116.92,1339,0,96
81.5,6.0635,16.2452,117.7,3864,1,34
72.45,8.3328,16.2477,109.26,4465,1,41
41.42,2.9855,13.3416,112.37,1791,0,140
98.98,8.0212,26.8533,148.17,8189,2,28
72.7,6.2861,21.4982,132.37,3413,1,65
70.19,2.2558,11.0244,84.18,1304,0,126
54.04,2.8175,11.6937,105.66,167,0,115
42.73,2.3366,12.6822,92.5,841,0,129
47.68,2.4952,15.6971,93.99,189,0,84
58.09,2.5144,8.6537,96.12,111,0,87
72.72,4.6745,16.4226,115.72,3600,1,57
42.59,4.1161,13.4567,102.73,576,0,110
68.77,5.0801,16.8641,126.06,2848,1,65
66.16,3.405,11.0614,101.47,54,0,104
69.72,6.6737,19.7197,125.6,3662,1,66
57.91,2.1395,11.5122,100.57,1322,0,110
46.06,2.5401,10.6685,103.46,1416,0,96
93.9,9.2807,18.6634,139.87,7808,2,30
67.02,2.0588,16.3425,109.7,1826,0,139
52.87,1.3655,10.1754,95.27,345,0,91
70.4,5.3703,20.5791,107.77,3161,1,48
54.95,2.324,11.213,106.2,507,0,129
49.13,1.741,13.0724,95.57,733,0,87
60.06,1.8281,10.6251,98.42,1721,0,123
63.12,2.3092,13.4101,88.26,1149,0,117
45.81,1.6065,8.6005,101.44,114,0,103
86.26,6.2949,17.8077,116.54,2654,1,62
56.15,3.2062,11.6675,97.73,700,0,136
72.27,6.2223,21.9418,117.61,4831,1,37
76.76,5.9963,16.8142,104.38,3674,1,35
75.29,4.4479,21.185,103.75,3669,1,76
58.28,2.7936,11.1095,108.72,1499,0,94
54.22,3.189,8.2608,101.89,1469,0,123
66.9,6.7074,15.0094,136.49,4859,1,56
79.81,6.3076,17.7443,115.69,4190,1,51
68.34,6.5974,14.8774,103.52,3642,1,35
55.14,1.4883,14.255,81.87,697,0,109
58.48,1.5787,10.2192,111.93,707,0,103
76.9,5.4463,21.905,107.76,2884,1,71
35.97,2.8825,13.4027,102.6,121,0,128
48.68,1.3604,13.878,73.93,1365,0,130
92.37,10.1473,31.3627,129.52,6933,2,5
53.21,3.4865,14.6036,110.19,1503,0,95
60.15,3.8262,12.6474,88.86,739,0,143
71.61,6.912,17.2121,109.75,3327,1,56
32.48,2.5082,11.6469,104.72,97,0,89
74.61,7.4267,21.1422,137.31,6926,2,19
60.79,3.1982,13.171,85.07,361,0,100
59.34,1.8779,13.4599,101.85,1185,0,107
92.78,9.8608,25.5735,126.72,5131,2,15
41.68,2.6743,14.6286,93.98,1527,0,145
45.25,1.8003,13.2974,98.81,2008,0,112
68.83,3.0177,8.1278,113.55,26,0,140
53.83,3.0358,13.6741,115.16,982,0,145
53.21,2.6256,15.6662,114.44,179,0,104
48.03,1.1338,12.2204,87.12,1552,0,137
55.23,1.8877,12.8073,106.95,1902,0,87
44.81,2.0588,10.8619,113.98,15,0,117
95.27,6.9063,25.2804,133.71,6645,2,12
48.65,1.3464,11.9528,85.11,1512,0,146
61.28,1.8603,14.2719,79.25,521,0,129
69.92,2.0386,11.5667,89.49,655,0,108
66.52,6.2783,11.7075,120.69,2564,1,36
61.42,1.3041,13.4525,101.55,210,0,102
59.75,0.6582,11.1144,98.2,265,0,131
73.15,4.975,22.5879,120.26,3142,1,40
62.22,3.7258,12.0986,114.38,1677,0,101
68.78,6.7019,17.7781,108.01,3270,1,73
95.09,7.3209,17.4004,142.44,4961,2,15
60.42,1.4161,12.3147,93.31,1158,0,110
67.91,7.3731,14.5763,135.01,3888,1,50
103.45,8.3562,22.2001,105.81,5082,2,8
55.53,1.305,13.1805,99.23,1352,0,76
42.97,2.4261,14.4351,107.25,1578,0,109
53.28,2.5537,11.157,109.18,1549,0,114
75.07,1.5686,11.9297,92.69,1139,0,106
91.15,10.7923,28.9418,114.11,7935,2,17
91.76,10.4186,25.6964,132.14,9425,2,1
85.75,8.462,19.0563,140.49,8699,2,13
71.04,2.2911,9.9609,113.36,458,0,114
58.42,1.5221,9.9067,103.53,2072,0,99
79.36,7.4434,18.693,119.62,4149,1,57
56.22,2.1242,12.4859,89.36,674,0,116
88.91,12.3662,30.4475,127.09,8336,2,27
55.82,1.1415,11.4408,83.06,1472,0,134
53.14,1.8687,14.532,85.83,61,0,137
42.68,2.3451,14.1641,99.44,523,0,102
50.69,3.5307,9.9497,96.06,1026,0,137
70.5,5.1768,24.1653,111.01,3172,1,44
52.88,3.774,11.1403,119.87,328,0,141
50.49,2.4899,11.8621,98.49,310,0,129
95.7,7.3889,17.795,146.61,5333,2,26
74.55,5.4507,21.7439,120.48,3944,1,70
81.99,7.798,26.8548,134.01,6564,2,23
98.78,7.6139,23.3697,117.82,7935,2,18
57.94,7.7776,16.9235,112.31,4870,1,61
63.56,3.4093,16.1962,108.98,1537,0,141
51.15,3.7324,11.5524,96.07,1376,0,117
46.9,3.0969,13.2657,82.13,249,0,94
77.29,7.3361,15.4939,111.59,4096,1,49
43.61,2.9949,11.6118,102.23,895,0,139
79.87,11.2992,28.1766,134.22,9223,2,12
65.48,2.0732,13.0929,98.41,1524,0,104
52.03,2.0067,15.7315,102.48,1655,0,127
56.78,2.0697,13.043,125.58,867,0,138
39.8,1.8708,11.3808,116.48,620,0,136
56.65,5.1649,21.2404,111.9,2600,1,51
62.86,1.9316,11.1061,109.26,1837,0,97
77.94,8.1963,25.6803,130.97,9583,2,22
59.97,1.5401,10.1917,76.06,1307,0,97
48.31,2.6402,13.0756,84.88,1161,0,143
70.36,7.9948,20.035,125.7,7804,2,19
70.08,5.1622,9.3976,115.85,3466,1,71
78.9,4.6174,22.6682,96.45,4403,1,75
55.39,4.0316,15.3349,101.9,2642,1,55
57.97,3.2969,9.6649,111.3,601,0,100
86.56,8.45,25.8699,149.56,9615,2,13
67.32,2.648,12.2953,90.36,593,0,104
67.04,4.7829,14.4579,98.43,3878,1,32
57.78,2.5504,11.617,98.04,918,0,98
44.91,2.6586,9.797,108.78,511,0,101
52.49,2.56,13.584,90.93,1684,0,108
74.28,5.414,30.324,149.99,5181,2,2
39.74,2.4248,9.8813,70.1,914,0,103
52.29,1.9717,10.2968,92.61,1123,0,105
43.99,3.3622,13.1297,92.94,1373,0,119
55.9,2.5189,13.2987,96.89,276,0,85
46.05,2.5179,12.2,97.3,596,0,91
40.5,2.9857,13.3409,115.33,390,0,110
73.26,1.891,19.5898,115.29,4884,1,43
58.79,4.309,11.6321,91.4,1808,0,112
84.99,7.9406,16.5725,132.49,5206,2,18
67.26,6.2397,13.6394,124.97,3742,1,67
71.67,2.2764,10.0946,93.04,1161,0,128
63.64,1.8105,15.3899,100.21,1015,0,136
48.66,3.3833,12.4769,110.0,1928,0,138
72.18,5.9939,15.2788,97.82,3949,1,43
43.59,2.092,11.3728,116.46,1305,0,116
56.21,2.6243,11.6441,90.24,470,0,82
70.61,3.1441,13.4195,111.27,1719,0,86
50.43,2.5176,16.0833,76.12,1481,0,108
56.97,2.4702,13.0254,100.32,174,0,90
52.63,4.1581,10.5614,91.9,335,0,108
91.5,10.6429,29.7991,130.65,6427,2,12
72.22,5.4678,20.2137,117.43,2501,1,54
50.01,2.5638,12.5142,70.84,1248,0,107
69.78,4.1751,12.342,113.01,1427,0,82
61.34,2.4761,13.4031,108.13,396,0,131
64.62,7.6418,10.1035,112.59,2390,1,58
43.11,2.5122,10.382,101.07,191,0,94
62.82,3.7405,10.9605,109.1,2055,0,129
66.76,8.482,20.8177,129.9,2982,1,64
65.36,2.1984,8.8105,93.72,1954,0,104
55.05,3.5486,13.2098,89.34,184,0,87
49.56,2.6817,10.411,81.56,1421,0,93
49.76,2.2927,14.1274,88.16,76,0,103
84.7,8.1706,28.0299,122.82,5291,2,1
59.89,6.057,15.6365,98.6,3405,1,37
72.63,1.2217,13.8144,114.71,432,0,93
53.44,3.7451,9.0599,106.35,11,0,122
62.23,1.8932,14.4833,107.4,1475,0,108
45.27,3.8542,12.692,95.68,1423,0,140
77.8,6.8205,17.328,121.2,3804,1,79
89.4,8.1487,23.9176,130.88,7443,2,0
81.31,9.8955,28.2179,126.9,6666,2,17
54.45,4.2387,10.687,115.58,1640,0,89
61.73,2.7179,10.4234,101.88,96,0,123
62.0,2.2908,13.2559,93.68,760,0,147
44.27,2.2905,11.6411,85.49,1979,0,75
37.8,4.5289,13.8829,89.56,1593,0,136
78.4,6.4075,20.3906,105.34,4579,1,46
62.26,2.1012,13.1612,108.46,1535,0,139
69.97,3.0463,12.2674,97.17,1019,0,134
88.97,7.8243,28.1013,106.26,9493,2,17
60.55,1.7227,13.8568,91.16,2041,0,89
64.81,2.299,12.6025,106.23,445,0,136
57.35,1.4046,12.0437,114.29,1978,0,135
53.37,3.0683,12.5734,95.73,77,0,141
72.54,2.7791,19.8546,122.5,2072,1,74
48.77,1.9214,13.5715,105.05,1219,0,109
73.5,5.3075,18.9309,127.36,4630,1,28
67.63,5.1598,16.5346,114.0,3666,1,45
51.06,2.6733,14.8175,91.05,1888,0,137
43.56,2.6128,8.7339,100.34,804,0,119
44.47,3.1875,7.9885,91.1,661,0,117
98.31,11.0807,24.5733,130.34,5207,2,23
49.19,0.1,13.9577,94.66,220,0,129
79.62,6.3402,19.2087,117.7,3952,1,38
73.84,2.0415,10.5687,97.25,1436,0,93
77.29,6.0013,25.1691,119.62,4888,1,36
51.18,3.3374,13.2813,105.02,168,0,136
57.07,3.6416,10.2229,95.5,389,0,88
52.12,2.6327,11.6943,93.29,1201,0,99
46.2,3.0933,12.2973,85.37,432,0,94
78.35,6.7514,17.9164,126.81,1968,1,45
61.44,4.8565,19.182,104.58,2381,1,38
60.45,6.4441,12.2296,114.01,3534,1,55
51.09,3.0729,17.1323,106.15,1400,0,134
58.67,2.4028,14.6363,93.58,39,0,128
73.62,9.5774,22.4257,133.27,5247,2,31
46.9,3.2396,10.6922,89.69,1699,0,97
49.56,1.5831,12.4978,116.46,1174,0,132
49.4,2.9247,8.7614,99.76,1869,0,96
78.59,3.3453,16.8052,101.78,2966,1,62
79.63,10.7495,24.2196,140.24,9450,2,28
80.33,10.2547,24.1146,133.45,5625,2,0
46.55,1.2021,13.8757,84.48,1447,0,86
51.19,2.7509,11.821,99.96,811,0,133
59.53,1.2307,12.3156,99.2,1717,0,113
93.73,10.9291,26.2678,140.41,9596,2,11
56.28,2.8371,11.4778,95.23,1164,0,131
62.5,1.7291,7.9243,96.89,523,0,119
56.37,3.663,13.9029,112.34,10,0,136
73.64,3.9285,22.2078,119.18,3321,1,64
74.29,7.7552,18.6596,135.51,9068,2,17
61.44,0.8832,12.6385,108.07,1008,0,136
103.9,12.2743,19.6092,131.53,8942,2,23
75.74,4.5604,18.1524,87.64,4870,1,51
53.35,2.1875,14.5393,97.18,2022,0,140
50.46,2.2223,7.4475,92.46,805,0,113
54.1,2.1312,10.044,89.43,146,0,131
78.95,6.593,16.466,114.75,2087,1,32
52.54,2.1216,10.9949,87.34,1493,0,111
63.88,6.0763,14.8444,95.92,2118,1,61
73.68,3.9193,16.276,109.62,4560,1,71
100.25,10.9503,26.7805,154.51,5187,2,2
53.72,1.2803,11.0903,88.58,353,0,105
48.24,3.3612,13.2986,104.11,161,0,147
53.69,1.9699,11.6095,91.36,479,0,81
36.79,3.959,11.901,95.45,234,0,85
65.0,2.0103,12.3256,100.73,637,0,122
94.41,10.8711,18.2185,116.6,9163,2,0
74.97,8.3796,29.9144,141.98,7799,2,3
58.14,2.5761,12.7662,106.16,1391,0,123
46.3,0.7275,12.0861,88.32,1799,0,82
75.11,2.6657,12.2838,123.45,1783,0,142
46.2,2.585,10.5715,95.52,147,0,99
59.26,3.1571,14.0222,90.19,912,0,87
43.18,3.3886,14.5841,101.43,689,0,145
47.56,2.9392,11.5955,82.13,1903,0,77
35.63,2.8865,11.47,108.7,1701,0,96
87.58,8.8844,19.1058,146.33,9326,2,3
59.39,1.1917,17.4703,122.96,1269,0,129
66.11,6.493,18.3859,111.99,3169,1,68
77.76,7.3807,26.2056,137.48,9240,2,10
93.75,9.6283,25.0345,131.24,6108,2,2
70.41,6.3339,15.6549,133.12,2012,1,77
49.41,2.1885,12.8877,88.72,663,0,87
69.63,4.7131,20.256,114.77,2932,1,71
72.75,4.8758,17.861,110.3,4021,1,63
81.95,7.0041,14.5286,106.78,2639,1,67
83.93,10.6508,22.0363,141.59,9703,2,15
80.41,4.4121,20.0803,105.97,2555,1,62
68.93,7.9961,12.2086,115.39,2862,1,53
101.21,9.4659,22.308,137.66,9607,2,10
63.6,5.5321,17.6188,120.67,3329,1,48
71.19,4.0594,22.3971,94.94,3522,1,58
65.75,4.8586,20.5907,130.5,3273,1,55
63.23,2.6558,11.7438,100.45,1405,0,148
56.44,3.3013,11.2433,113.65,1545,0,108
58.64,1.5034,13.2663,100.55,454,0,107
47.39,2.1795,12.1453,123.93,831,0,96
74.63,4.7413,19.7577,130.11,3288,1,56
54.55,1.8718,13.3143,98.08,610,0,94
60.28,2.6855,9.6332,79.18,502,0,119
37.24,2.5352,12.357,68.64,89,0,129
55.53,2.5836,13.2125,124.71,1008,0,107
51.82,3.1492,11.0951,92.64,0,0,93
80.88,5.2333,20.9318,91.56,3302,1,39
59.09,2.1774,11.7936,95.17,221,0,113
54.14,3.2353,10.9417,103.92,1191,0,94
47.78,2.9366,12.183,104.09,1361,0,112
91.43,9.1341,25.7797,122.85,6817,2,8
44.65,2.7516,11.1521,118.87,348,0,109
56.54,2.3777,18.7625,110.84,122,0,109
45.83,2.4363,11.1296,97.68,819,0,103
71.56,4.627,19.964,112.54,2750,1,72
64.08,1.9828,10.8331,107.46,1193,0,84
46.02,3.5675,13.1475,96.07,740,0,133
94.69,7.0269,14.1211,135.85,6110,2,14
54.45,2.6103,15.6002,109.21,287,0,102
51.53,2.6219,9.5035,116.74,708,0,85
48.77,2.8299,9.9619,80.49,1842,0,99
62.49,1.9673,10.9253,114.25,1238,0,134
65.42,1.1195,15.8084,103.66,716,0,118
37.5,3.1973,11.7415,106.4,1098,0,93
52.23,1.9247,8.9886,98.24,966,0,136
68.62,2.9282,11.0494,91.73,636,0,136
53.67,3.085,9.9173,107.3,2018,0,102
62.43,3.019,13.4628,129.18,1841,0,94
68.69,2.0508,12.8366,75.63,764,0,85
83.82,9.8116,25.2322,103.59,9690,2,18
62.82,1.8078,12.2095,114.56,676,0,129
76.1,5.0107,17.3171,95.33,3610,1,55
61.22,1.6636,11.2413,94.46,94,0,139
86.99,7.6871,21.8029,134.72,7755,2,11
81.93,8.8438,29.1528,139.45,5776,2,0
72.0,3.2879,16.7641,114.63,4363,1,47
83.1,9.4449,25.0162,125.09,8466,2,24
75.68,7.1075,15.9094,122.98,4188,1,40
86.89,8.432,28.7577,132.37,8286,2,9
49.76,2.742,12.1858,123.2,621,0,134
54.32,2.1046,10.7132,87.29,1224,0,110
53.68,2.3395,12.4402,97.95,1725,0,100
88.56,7.1816,22.067,95.45,9839,2,16
74.02,5.2993,22.8548,90.34,3898,1,77
94.79,8.5134,22.3845,152.38,5111,2,15
73.04,2.6347,13.6673,112.84,239,0,128
60.84,2.3167,16.8418,93.09,1334,0,131
92.32,8.1123,25.2224,140.77,6486,2,12
50.73,1.4374,11.8077,91.18,337,0,124
50.26,3.2366,11.5337,98.53,1374,0,95
40.59,3.2745,11.7011,104.35,1218,0,115
74.32,4.6115,18.0539,135.65,3419,1,73
69.64,2.6193,23.3161,120.8,2172,1,57
43.61,2.3691,13.9868,91.08,1533,0,129
55.64,3.4476,9.8114,94.35,60,0,116
103.09,7.8123,24.69,116.85,8236,2,20
71.3,3.711,16.9743,107.11,1493,0,122
57.4,1.1507,11.8661,90.33,280,0,104
59.31,6.6309,15.2526,109.79,2344,1,73
42.47,4.0724,14.3038,98.42,1712,0,90
63.1,3.5115,10.8628,100.19,348,0,96
56.91,1.9375,14.1998,90.93,1566,0,79
60.06,2.5366,7.5065,102.26,1683,0,137
78.09,9.2701,32.1598,134.91,8233,2,32
45.44,3.4148,9.5647,98.8,1711,0,105
51.2,3.2359,11.6416,105.76,506,0,130
54.34,0.869,9.4704,98.07,3,0,94
54.96,3.6271,13.3679,97.46,1065,0,95
56.27,2.9595,15.3232,109.63,1515,0,124
50.44,1.9772,12.3315,94.75,601,0,96
49.41,3.0347,13.3257,96.82,600,0,111
54.89,3.2876,13.3631,99.7,1494,0,142
71.35,3.4671,11.1556,103.67,127,0,128
80.97,5.0973,20.4501,103.81,3715,1,58
72.74,6.4924,15.0559,99.34,3549,1,33
99.26,7.7665,29.9732,138.13,8131,2,24
60.33,0.9267,15.2317,100.01,1636,0,114
58.95,2.0771,13.6644,106.32,1154,0,146
54.15,3.4975,8.3046,114.42,1419,0,130
54.79,2.4894,10.6793,100.19,1585,0,108
53.29,4.4555,16.3733,98.27,690,0,138
43.28,1.7709,13.1459,108.93,680,0,122
81.39,9.0977,22.7446,150.78,6734,2,19
48.08,2.0924,8.9415,100.59,396,0,103
81.19,6.6905,19.4755,110.17,2187,1,73
68.23,6.4531,18.1061,131.22,2773,1,49
52.93,3.7212,9.9853,95.32,0,0,136
83.75,9.7032,17.7867,139.13,8128,2,13
71.63,4.9966,20.07,123.66,4948,1,68
49.94,1.3626,14.5236,94.22,1473,0,132
90.38,10.0937,16.9451,146.48,7272,2,24
57.23,2.3741,13.9971,104.13,789,0,97
88.2,9.7752,19.0025,129.4,7625,2,17
49.21,3.7139,11.1891,97.06,536,0,128
91.83,9.2624,20.7164,130.53,8797,2,18
68.83,1.4121,10.802,98.61,1625,0,115
69.25,8.236,13.1606,148.35,4644,1,48
51.74,1.6018,10.246,102.81,0,0,129
53.04,2.1841,9.9807,104.8,1725,0,127
64.51,2.9589,7.5502,94.46,1985,0,125
44.98,1.8387,10.5212,88.74,633,0,122
52.99,1.7777,12.1709,102.13,1129,0,114
75.13,3.5626,17.864,97.18,4802,1,76
55.01,3.4062,8.5686,101.22,1575,0,79
46.74,2.5002,14.0257,83.55,141,0,127
84.22,10.847,26.0903,146.01,5388,2,6
42.96,2.1472,11.7791,85.83,372,0,109
77.7,4.8658,10.3102,119.39,4772,1,63
87.02,9.3616,24.0882,134.33,5421,2,24
58.64,2.6875,14.2551,88.43,565,0,133
73.46,5.2521,17.8474,126.89,2876,1,52
97.37,10.7493,33.2307,146.31,5770,2,27
74.58,5.9624,19.7032,112.86,2267,1,47
83.36,4.9179,24.8296,103.42,4549,1,44
72.91,7.4793,18.5006,112.33,3186,1,34
73.35,4.6068,15.8387,135.9,3841,1,44
95.98,6.7342,26.4379,117.34,6237,2,1
69.45,6.5865,16.6091,99.83,4140,1,79
79.96,8.1984,23.4242,131.81,8177,2,8
80.66,5.7372,23.0948,126.79,9882,2,8
58.2,3.2286,13.8872,111.84,1964,0,121
60.6,1.5839,13.5057,104.89,1139,0,80
88.31,8.2717,26.5675,119.17,5997,2,12
77.27,3.3876,19.4593,122.12,2608,1,58
67.64,3.4779,19.83,96.37,3804,1,43
61.11,2.8149,11.208,94.01,819,0,104
73.42,6.5199,23.5643,114.36,3114,1,42
49.82,2.1326,12.1017,86.89,1175,0,116
90.8,9.0506,31.4637,136.85,8440,2,18
52.59,3.5334,10.6454,94.78,225,0,125
63.65,4.4379,11.6917,83.75,1634,0,103
73.0,6.0707,16.5547,106.65,2074,1,72
61.13,1.8736,11.7742,103.68,1209,0,132
54.03,3.2662,9.3046,98.6,1498,0,80
41.19,2.6212,11.8366,111.43,682,0,87
45.94,3.4664,9.0707,89.8,178,0,131
77.93,10.9434,24.8016,138.58,9323,2,24
57.02,1.5303,11.4448,114.39,421,0,139
61.18,3.0001,10.693,92.25,1967,0,130
74.46,3.8177,22.8953,103.05,4453,1,46
44.14,3.7689,8.9191,97.4,113,0,93
91.82,10.2094,20.9391,130.69,9854,2,17
53.88,3.5756,11.7156,88.14,1530,0,145
58.69,2.8386,12.9109,108.64,89,0,132
